Key,Latitude,Longitude
ANJAJAVY,-15.042472336852757,47.27646379022594
AMBARARATA LONDA,-20.055343419018612,45.407124391098975
AMBATOTSIRONGORONGO,-25.09109742960731,46.75259681083446
AMBOHIDRAY,-18.598418209801228,48.303881010656426
AMBOHIJANAHARY,-18.350724368067176,45.38642276253066
ANGAVO,-24.888473553096457,45.834773326029705
BEHARA TRANOMARO,-24.802614817112445,46.41063657802959
BEMARIVO,-16.957587289213947,44.40345452019581
KASIJY,-17.08074063582193,45.8938093226311
MANINGOZY,-17.040912213682855,44.92924671515657
RANOBE BAY,-23.22247277301903,43.59513625822488
RANOBE PK32,-23.058213324343082,43.779017276387016
SUD OUEST IFOTAKY,-24.973988319392465,46.10819956278029
TAMPOKETSA D ANALAMAITSO,-16.17821849637863,48.17528429793388
VOHIDEFO,-25.183341484803904,44.5764615285733
MAHAVAVY KINKONY,-16.041843653452066,45.85499847268722
MANGOKY IHOTRY,-21.70353010798798,43.79860328012982
TSITONGAMBARIKA,-24.674501643750453,47.03663409294236
TOROTOROFOTSY,-18.868301826755715,48.362478973860604
BEANKA,-17.928131348524428,44.503295115674426
SAHAFINA,-18.809475843134695,48.963826875722624
VELONDRIAKE,-22.047488181873227,43.20879963224535
AMBODIVAHIBE,-12.300100736836344,49.52642476708109
ANKENIHENY ZAHAMENA,-18.296626002324786,48.65778296370517
AMBOSITRA VONDROZO,-22.020773184394166,47.25537778223045
TAMPOLO,-17.277033269220592,49.422706846145225
BOMBETOKA BELOBOKA,-15.937941201340374,46.353271717712566
AMBONDROBE,-19.229214667059694,44.53799614051615
LAC ALAOTRA,-17.530260309601797,48.460293570034636
RIVIERE NOSIVOLO,-20.087691119670914,48.09973165623777
ALLEE DES BAOBABS,-20.245963631595366,44.42685515875463
ANDRAFIAMENA ANDAVAKOERA,-13.011313567399345,49.27226878564453
ANJOZOROBE ANGAVO,-18.585761637018837,47.96955504597715
LOKY MANAMBATO,-13.051548428825782,49.697362384393415
MENABE ANTIMENA,-19.936250195328974,44.569553107302774
MAROMIZAHA,-18.963127519981448,48.4725057585737
TSINJORIAKE,-23.469302057664773,43.756377744346814
NOSY ANTSOHA,-13.511162217403568,47.96096724457624
AMPANANGANDEHIBE BEHASINA,-18.100028496947672,48.31813730406277
ANALABE BETANATANANA,-17.614141641833484,48.62739650892134
MAHIALAMBO,-18.10221360689419,48.20719230722857
MANGABE RANOMENA SAHASAROTRA,-19.141743865255513,48.15225912787915
AGNAKATRIKA,-23.514528120026217,47.49620250872748
AGNALAZAHA,-23.189144427257048,47.71823607483872
AMPASINDAVA,-13.798354628587708,47.99291044206898
ANALALAVA,-17.70508298706203,49.45575054933587
ANKARABOLAVA,-23.445732290350758,47.507053140852406
ALANDRAZA ANALAVELO,-22.66836386392773,44.16497988186012
GALOKO KALOBINONO,-13.627399008530622,48.66510669061431
MAKIROVANA TSIHOMANAOMBY,-14.138668048972312,49.95924788266846
IBITY,-20.13132969636236,47.01205397997063
ORONJIA,-12.259366796556904,49.37097050476163
POINTE A LARREE,-16.80321301884112,49.72439892361417
VOHIDAVA BETSIMALAHO,-24.273990102268158,46.20601902118851
ANTREMA,-15.768324212474086,46.12447639959059
AMBATOVAKY,-16.738389727768748,49.144054042413345
AMBOHITANTELY,-18.1626212896425,47.302696460877904
ANALAMAZAOTRA,-18.936723249263615,48.4300044715192
ANALAMERANA,-12.783656914525949,49.47982380889553
ANDOHAHELA,-24.754366838438397,46.726374389043585
ANDRANOMENA,-20.1808572151735,44.52412766795273
ANDRINGITRA,-22.23199031514543,46.93024410379544
ANJANAHARIBE SUD,-14.714843785600902,49.44518067574694
ANKARAFANTSIKA,-16.220896612713908,46.94175566160105
ANKARANA,-12.901905999662533,49.1370196936638
BAIE DE BALY,-16.087369664043226,45.225047295024766
BEMARAHA,-18.661417650004154,44.76731400766664
BETAMPONA,-17.903679500750634,49.216687960114335
BEZA MAHAFALY,-23.683967894490323,44.59217936054573
BORA,-14.911930715668484,48.226764907969816
CAP SAINTE MARIE,-25.58028565835372,45.17057863068309
SAHAMALAZA ILES RADAMA,-14.186140856367565,47.834148646656566
ISALO,-22.447929591696138,45.28686229224573
KALAMBATRITRA,-23.38096491564914,46.47214309305324
KIRINDY MITE,-20.917732891102595,44.026002250302206
LOKOBE,-13.412705748648033,48.3194426486189
MANANARA NORD,-16.432792241349972,49.72872852875362
MANGERIVOLA,-18.195982861319578,48.88148966837676
MANOMBO,-23.03925777433046,47.73136879040436
MANONGARIVO,-14.013944223172825,48.37605974844102
MANTADIA,-18.808845170578206,48.47335470561119
MAROJEJY,-14.43479761719393,49.70857332628494
MAROLAMBO,-20.208872104918356,47.74536673301985
MAROTANDRANO,-16.432907809608682,48.69812109014721
MASOALA,-15.528742842288906,50.12562851516597
BEFOTAKA MIDONGY DU SUD,-23.643444166361796,47.02702679906707
MIKEA,-22.239163872793913,43.44597605592034
MONTAGNE D AMBRE,-12.574213865206216,49.16143816776025
NOSY HARA,-12.210882475978751,49.00161410039999
NOSY MANGABE,-15.498019267893351,49.767863430431895
NOSY TANIKELY,-13.4835580159532,48.236026156514725
NOSY VE ANDROKA,-24.985151092005825,44.090361153511296
PIC D IVOHIBE,-22.50728201216262,46.966772882524545
RANOMAFANA,-21.218670685557637,47.45547057303893
TSARATANANA,-13.975684109248437,48.90970393448231
TSIMANAMPESOTSE,-24.384758366547587,43.977254838483766
NAMOROKA,-16.472802122919905,45.33917992190404
ZAHAMENA,-17.653709393486313,48.81473300238718
ZOMBITSE VOHIBASIA,-22.683900162738293,44.76511620331857
AMBATOATSINANANA,-24.783530026855743,47.1594559197159
PETRIKY,-25.059133402503043,46.869767316368176
MANDENA,-24.954404184841096,46.99615689350356
ITREMO,-20.513705533164256,46.503346747078886
MONTAGNE DES FRANCAIS,-12.3737104215239,49.358703715327295
TSIMEMBO MANAMBOLOMATY,-18.97339985733323,44.38405339410957
MANDROZO,-17.542015909666656,44.095961248826626
BEMANEVIKA,-14.371010386955748,48.53703684955719
MAHIMBORONDRO,-14.294836732281729,48.75084309649642
MANJAKATOMPO ANKARATRA,-19.349768126324552,47.26826399250544
ANDREBA,-15.940790068765986,49.7063842640483
ANKAREA,-12.87931690421528,48.57449115358692
ANKIVONJY,-13.521458225718,47.862184658271126
MAKIRA,-15.237902705007485,49.49019108709875
SOARIAKE,-22.60000472409345,43.25330435468638
AMORON I ONILAHY,-23.532454707803605,44.01985447068227
ANKODIDA,-25.049945587577028,46.52623703946367
COMATSA NORD,-14.066834962148704,49.28656922602533
COMATSA SUD,-14.51489104200337,49.300290859170694
NORD IFOTAKA,-24.768328870321778,46.10302312090155
ILES BARREN,-18.267854850194603,43.76380865714987
AMBATOFOTSY,-19.547407726164998,48.30648780324593
AMPOTAKA ANKORABE,-19.64552958827907,48.03225205400862
ANALALAVA,-17.57416279710331,48.62870468258866
